PoiID,FirstLevel,SecondLeve,ZoneID
0,4,19,123
1,8,90,123
2,4,179,123
3,9,67,123
4,9,67,123
5,9,67,123
6,9,67,123
7,9,67,123
8,9,67,123
9,9,67,123
10,19,75,66
11,9,92,66
12,2,1,66
13,12,120,66
14,1,18,66
15,3,24,66
16,4,179,66
17,13,156,66
18,0,145,66
19,1,18,66
20,19,173,85
21,13,4,85
22,1,18,85
23,13,154,85
24,6,32,85
25,13,64,85
26,3,24,85
27,19,28,85
28,13,4,85
29,5,155,85
30,13,4,79
31,12,23,79
32,17,15,79
33,11,116,79
34,1,7,79
35,1,21,79
36,1,18,79
37,8,56,79
38,7,157,79
39,6,32,70
40,18,165,70
41,18,165,70
42,4,179,70
43,18,165,70
44,4,179,70
45,12,120,70
46,13,150,70
47,16,162,70
48,4,179,70
49,4,179,656
50,6,62,656
51,19,174,656
52,1,18,656
53,19,108,656
54,3,149,656
55,12,104,656
56,4,103,656
57,16,50,656
58,3,24,656
59,16,52,40
60,6,32,40
61,1,18,40
62,1,18,40
63,4,179,40
64,6,32,40
65,4,179,40
66,3,24,40
67,6,13,40
68,19,28,40
69,4,179,58
70,12,127,58
71,18,165,58
72,3,24,58
73,4,179,58
74,18,165,58
75,4,179,58
76,4,179,58
77,6,13,58
78,4,179,58
79,16,59,104
80,16,59,104
81,4,179,104
82,6,32,104
83,6,32,104
84,6,32,104
85,6,13,104
86,1,18,104
87,1,18,104
88,16,52,104
89,1,18,50
90,1,18,50
91,6,32,50
92,6,13,50
93,6,32,50
94,4,179,50
95,4,179,50
96,4,179,50
97,4,179,50
98,1,18,47
99,1,18,47
100,6,13,47
101,6,13,47
102,6,32,47
103,4,179,47
104,4,179,47
105,9,67,127
106,9,67,127
107,9,67,127
108,4,37,127
109,1,7,127
110,9,67,127
111,4,19,127
112,4,19,127
113,9,67,127
114,9,67,127
115,13,64,266
116,5,159,266
117,19,75,266
118,16,59,266
119,5,159,266
120,4,37,266
121,13,64,266
122,16,52,266
123,13,57,266
124,13,64,266
125,4,19,153
126,13,4,153
127,13,4,153
128,13,57,153
129,13,150,153
130,16,52,153
131,17,20,153
132,4,19,153
133,4,19,153
134,19,98,153
135,12,170,145
136,13,4,145
137,0,145,145
138,19,174,145
139,13,4,145
140,0,146,145
141,12,23,145
142,12,128,145
143,19,174,145
144,13,64,145
145,7,157,218
146,16,52,218
147,16,52,218
148,6,32,218
149,8,71,218
150,0,145,218
151,16,52,218
152,11,115,218
153,7,157,218
154,16,160,218
155,4,179,253
156,3,24,253
157,16,163,253
158,4,179,253
159,6,32,253
160,6,32,253
161,4,19,253
162,6,13,253
163,19,174,253
164,9,91,253
165,13,156,119
166,13,4,119
167,13,64,119
168,2,119,119
169,0,145,119
170,12,170,119
171,10,99,119
172,16,52,119
173,13,64,119
174,13,4,119
175,4,19,225
176,13,156,225
177,6,32,225
178,8,71,225
179,18,165,225
180,1,7,225
181,3,24,225
182,4,179,225
183,19,98,225
184,17,15,225
185,19,174,111
186,8,65,111
187,16,52,111
188,3,24,111
189,11,118,111
190,19,75,111
191,13,4,111
192,8,71,111
193,12,131,111
194,2,119,111
195,10,99,162
196,0,145,162
197,16,52,162
198,19,28,162
199,2,119,162
200,7,135,162
201,4,19,162
202,12,30,162
203,7,157,162
204,12,131,162
205,8,56,132
206,7,29,132
207,0,145,132
208,2,119,132
209,4,19,132
210,20,177,132
211,0,145,132
212,0,145,132
213,20,0,132
214,4,19,132
215,4,179,238
216,13,64,238
217,12,127,238
218,7,66,238
219,13,64,238
220,13,64,238
221,16,52,238
222,16,59,238
223,16,61,238
224,8,9,238
225,16,52,217
226,12,131,217
227,13,156,217
228,16,52,217
229,4,179,217
230,3,25,217
231,3,24,217
232,16,161,217
233,4,19,217
234,1,18,217
235,8,71,263
236,13,150,263
237,16,59,263
238,11,117,263
239,11,114,263
240,11,117,263
241,0,146,263
242,6,32,263
243,16,59,263
244,5,159,263
245,12,141,126
246,19,174,126
247,8,56,126
248,12,60,126
249,0,145,126
250,0,145,126
251,10,94,126
252,3,24,126
253,12,74,126
254,19,174,126
255,5,42,116
256,4,19,116
257,17,15,116
258,12,55,116
259,8,56,116
260,13,154,116
261,16,52,116
262,4,19,116
263,13,64,116
264,10,96,116
265,8,71,136
266,8,56,136
267,6,13,136
268,8,54,136
269,5,155,136
270,13,156,136
271,13,156,136
272,0,146,136
273,13,64,136
274,5,155,136
275,16,52,157
276,0,146,157
277,13,133,157
278,2,119,157
279,7,85,157
280,16,59,157
281,13,156,157
282,13,49,157
283,13,64,157
284,1,18,157
285,12,30,229
286,16,16,229
287,7,86,229
288,6,32,229
289,6,32,229
290,6,32,229
291,6,32,229
292,3,24,229
293,16,163,229
294,6,32,229
295,1,18,222
296,4,179,222
297,4,179,222
298,1,18,222
299,17,15,222
300,3,24,222
301,4,179,222
302,12,131,222
303,1,18,222
304,3,24,222
305,6,32,228
306,6,13,228
307,8,56,228
308,4,179,228
309,1,18,228
310,19,108,228
311,12,78,228
312,16,52,228
313,6,32,228
314,4,179,228
315,4,19,143
316,1,18,143
317,4,19,143
318,13,64,143
319,1,18,143
320,12,30,143
321,1,18,143
322,1,8,143
323,20,0,143
324,13,57,143
325,12,23,141
326,1,83,141
327,1,18,141
328,4,19,141
329,4,19,141
330,4,19,141
331,4,179,141
332,3,24,181
333,4,179,181
334,8,56,181
335,6,32,181
336,8,71,181
337,5,44,181
338,2,119,181
339,1,7,181
340,12,128,181
341,12,127,181
342,18,165,135
343,9,67,135
344,9,67,135
345,8,56,135
346,9,67,135
347,18,165,135
348,9,67,135
349,6,32,135
350,9,67,135
351,6,32,135
352,13,64,257
353,13,64,257
354,2,143,257
355,3,24,257
356,3,24,257
357,3,24,257
358,12,30,257
359,1,7,257
360,4,19,257
361,3,24,257
362,3,113,308
363,17,20,308
364,13,4,308
365,3,24,308
366,13,64,308
367,6,33,308
368,1,7,308
369,9,92,308
370,4,179,308
371,4,179,308
372,4,179,276
373,3,24,276
374,4,19,276
375,4,179,276
376,6,33,276
377,1,8,276
378,1,18,276
379,1,18,276
380,3,26,276
381,20,177,276
382,6,13,402
383,12,120,402
384,3,24,402
385,6,80,402
386,8,90,402
387,3,24,402
388,12,78,402
389,9,92,402
390,6,32,402
391,6,13,402
392,2,125,346
393,3,87,346
394,4,19,346
395,7,22,346
396,1,18,346
397,3,24,346
398,12,130,346
399,7,157,346
400,20,81,346
401,3,24,346
402,9,92,293
403,9,92,293
404,6,33,293
405,3,24,293
406,6,33,293
407,8,56,293
408,2,125,293
409,7,29,293
410,13,4,293
411,8,140,293
412,9,93,442
413,6,32,442
414,6,13,442
415,0,145,442
416,4,179,442
417,12,128,442
418,16,163,442
419,17,20,442
420,11,117,442
421,6,32,442
422,1,18,355
423,3,24,355
424,20,81,355
425,20,81,355
426,8,54,355
427,3,24,355
428,3,24,355
429,3,24,355
430,1,18,355
431,3,24,355
432,17,15,376
433,6,32,376
434,6,32,376
435,19,174,376
436,1,18,376
437,6,13,376
438,6,32,376
439,16,59,376
440,11,118,376
441,6,32,376
442,12,131,483
443,16,40,483
444,10,63,483
445,3,24,483
446,6,80,483
447,17,20,483
448,16,52,483
449,9,92,483
450,13,57,483
451,6,32,483
452,1,7,586
453,13,154,586
454,1,18,586
455,16,52,586
456,12,127,586
457,6,32,586
458,13,4,586
459,6,32,586
460,4,37,586
461,9,92,586
462,3,24,424
463,11,117,424
464,7,86,424
465,0,146,424
466,1,7,424
467,12,78,424
468,6,32,424
469,19,174,424
470,12,127,424
471,19,108,424
472,11,116,488
473,1,7,488
474,4,179,488
475,1,7,488
476,4,179,488
477,3,24,488
478,1,7,488
479,1,7,488
480,1,7,488
481,5,43,488
482,6,32,484
483,10,94,484
484,6,32,484
485,6,32,484
486,7,29,484
487,3,24,484
488,2,119,484
489,1,18,484
490,3,24,484
491,5,159,484
492,7,85,565
493,10,94,565
494,12,23,565
495,4,37,565
496,1,18,565
497,17,15,565
498,18,165,565
499,12,23,565
500,6,32,565
501,0,145,565
502,13,64,516
503,11,118,516
504,16,16,516
505,3,24,516
506,6,32,516
507,13,4,516
508,16,52,516
509,6,32,516
510,13,64,516
511,6,13,516
512,20,0,517
513,5,159,517
514,7,17,517
515,7,157,517
516,7,48,517
517,11,115,517
518,8,71,517
519,11,116,517
520,1,18,517
521,5,155,517
522,8,56,538
523,16,59,538
524,1,18,538
525,12,141,538
526,6,32,538
527,3,24,538
528,5,44,538
529,13,4,538
530,19,174,538
531,6,32,538
532,6,32,549
533,1,7,549
534,1,7,549
535,4,179,549
536,18,165,549
537,6,32,549
538,3,24,549
539,6,32,549
540,6,32,549
541,4,179,549
542,1,7,607
543,20,81,607
544,4,179,607
545,6,33,607
546,13,4,607
547,3,24,607
548,13,57,607
549,3,24,607
550,12,131,607
551,13,49,607
552,8,56,620
553,3,24,620
554,3,24,620
555,1,18,620
556,3,24,620
557,13,4,620
558,3,24,620
559,4,19,620
560,12,131,620
561,3,24,620
562,4,179,579
563,5,155,579
564,13,4,579
565,16,52,579
566,12,131,579
567,13,150,579
568,3,24,579
569,12,74,579
570,6,32,579
571,6,32,579
572,16,52,554
573,3,24,554
574,4,179,554
575,3,24,554
576,3,24,554
577,12,128,554
578,8,90,554
579,3,24,554
580,16,59,554
581,16,59,554
582,18,165,630
583,1,7,630
584,17,15,630
585,6,33,630
586,3,24,630
587,1,21,630
588,4,123,630
589,4,179,630
590,7,157,630
591,19,75,630
592,6,13,603
593,4,179,603
594,1,18,603
595,1,7,603
596,3,24,603
597,1,8,603
598,16,52,603
599,8,71,603
600,12,127,603
601,4,179,603
602,12,23,621
603,18,165,621
604,1,7,621
605,18,165,621
606,1,18,638
607,1,18,638
608,10,94,638
609,3,25,638
610,19,174,638
611,8,90,638
612,8,90,638
613,2,11,638
614,10,121,638
615,19,174,638
616,11,114,660
617,3,24,660
618,4,37,660
619,4,37,660
620,13,4,660
621,18,165,660
622,8,140,660
623,1,7,660
624,18,165,660
625,1,18,660
626,1,7,613
627,18,165,613
628,6,13,613
629,3,24,613
630,4,179,613
631,6,32,626
632,1,18,626
633,19,98,626
634,16,163,626
635,6,32,626
636,2,73,626
637,6,32,626
638,6,33,626
639,4,179,626
640,3,24,626
641,8,90,27
642,8,56,27
643,7,29,27
644,7,157,27
645,3,24,27
646,12,78,27
647,3,24,27
648,19,174,27
649,1,7,27
650,4,19,27
651,7,157,13
652,4,179,13
653,3,24,13
654,3,24,13
655,20,81,13
656,7,157,13
657,1,18,13
658,3,24,13
659,12,130,13
660,5,43,13
661,12,131,12
662,12,55,12
663,4,179,12
664,10,96,12
665,4,19,12
666,1,18,12
667,3,24,12
668,12,78,12
669,10,94,12
670,19,174,12
671,10,27,34
672,5,155,34
673,16,52,34
674,4,19,34
675,1,7,34
676,7,29,34
677,0,145,34
678,19,173,34
679,13,4,34
680,1,7,34
681,0,145,20
682,12,131,20
683,5,2,20
684,16,52,20
685,9,93,20
686,3,77,20
687,8,56,20
688,8,140,20
689,5,155,20
690,4,19,20
691,8,56,52
692,13,4,52
693,5,155,52
694,18,165,52
695,1,7,52
696,0,146,52
697,13,4,52
698,4,19,52
699,0,148,52
700,3,24,52
701,1,7,26
702,3,24,26
703,13,64,26
704,13,4,26
705,1,18,26
706,6,13,26
707,0,146,26
708,2,119,26
709,19,174,26
710,2,38,26
711,1,7,24
712,1,7,24
713,19,174,24
714,12,131,24
715,7,157,24
716,13,4,24
717,19,173,24
718,0,145,24
719,2,119,24
720,10,94,24
721,19,173,30
722,10,94,30
723,4,19,30
724,13,64,30
725,0,6,30
726,7,29,30
727,5,44,30
728,7,157,30
729,19,173,30
730,7,157,30
731,5,159,43
732,10,88,43
733,20,81,43
734,20,177,43
735,13,64,43
736,7,29,43
737,20,177,43
738,3,24,43
739,20,177,43
740,4,19,43
741,12,131,41
742,0,145,41
743,6,13,41
744,12,78,41
745,19,174,41
746,4,179,41
747,19,174,41
748,0,145,41
749,13,156,41
750,13,4,41
751,9,92,42
752,8,56,42
753,7,157,42
754,12,74,42
755,20,81,42
756,7,157,42
757,5,159,42
758,18,165,42
759,20,177,42
760,20,81,42
761,0,146,35
762,19,174,35
763,6,80,35
764,13,64,35
